awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
2235103,2022,188333.0,EDU,DGE,Wichita State University,KS,Kansas,92000.0,-96333.0,Kansas
2235112,2022,4000.0,MPS,PHY,SUNY at Stony Brook,NY,New York,4000.0,0.0,New York
2235121,2022,50000.0,TIP,TI,Pennsylvania State Univ University Park,PA,Pennsylvania,50000.0,0.0,Pennsylvania
2235138,2022,199676.0,GEO,OCE,Florida International University,FL,Florida,199676.0,0.0,Florida
2235146,2022,50000.0,TIP,TI,University of Minnesota-Twin Cities,MN,Minnesota,50000.0,0.0,Minnesota
2235197,2022,995167.0,EDU,DGE,Regents of the University of Idaho,ID,Idaho,276000.0,-719167.0,Idaho
2235198,2022,145000.0,EDU,DGE,Fordham University,NY,New York,92000.0,-53000.0,New York
2235199,2022,550833.0,EDU,DGE,Texas State University - San Marcos,TX,Texas,92000.0,-458833.0,Texas
2235200,2022,3000028.0,EDU,DGE,The Scripps Research Institute,CA,California,313500.0,-2686528.0,California
2235201,2022,1878333.0,EDU,DGE,University of Alaska Fairbanks Campus,AK,Alaska,184000.0,-1694333.0,Alaska
2235204,2022,1596333.0,EDU,DGE,University of Vermont & State Agricultural College,VT,Vermont,230000.0,-1366333.0,Vermont
2235205,2022,4022733.0,EDU,DGE,Virginia Polytechnic Institute and State University,VA,Virginia,1246384.0,-2776349.0,Virginia
2235206,2022,1658334.0,EDU,DGE,University of Montana,MT,Montana,276000.0,-1382334.0,Montana
2235319,2022,17875534.0,GEO,OPP,MILITARY SEALIFT COMMAND,VA,Virginia,17875534.0,0.0,Virginia
2235356,2022,433650.0,ENG,CBET,Pennsylvania State Univ University Park,PA,Pennsylvania,527992.0,94342.0,Pennsylvania
2235457,2022,299131.0,MPS,DMS,Washington University,MO,Missouri,299131.0,0.0,Missouri
2235467,2022,49938.0,EDU,EES,University of New Mexico,NM,New Mexico,49938.0,0.0,New Mexico
2235524,2022,48507.0,GEO,AGS,University of California-Los Angeles,CA,California,48507.0,0.0,California
2235552,2022,1183056.0,EDU,DGE,Washington State University,WA,Washington,257333.0,-925723.0,Washington
2235558,2022,9964.0,BIO,IOS,Texas Tech University,TX,Texas,9964.0,0.0,Texas
2235570,2022,0.0,TIP,TI,University of Illinois at Chicago,IL,Illinois,50000.0,50000.0,Illinois
2235617,2022,465000.0,MPS,CHE,"OHIO STATE UNIVERSITY, THE",OH,Ohio,465000.0,0.0,Ohio
2235625,2022,67085.0,SBE,SES,Northeastern University,MA,Massachusetts,191696.0,124611.0,Massachusetts
2235715,2022,1695196.0,EDU,DRL,University of Delaware,DE,Delaware,1493082.0,-202114.0,Delaware
2235754,2022,10000.0,CSE,IIS,University of California-Los Angeles,CA,California,10000.0,0.0,California
2235783,2022,6764506.0,EDU,DGE,Michigan State University,MI,Michigan,1335433.0,-5429073.0,Michigan
2235784,2022,10664283.0,EDU,DGE,University of California-Irvine,CA,California,3504072.0,-7160211.0,California
2235789,2022,220000.0,ENG,ECCS,Virginia Commonwealth University,VA,Virginia,220000.0,0.0,Virginia
2235937,2022,50000.0,TIP,TI,Oregon Institute of Technology,OR,Oregon,50000.0,0.0,Oregon
2236020,2022,50000.0,TIP,TI,Purdue University,IN,Indiana,50000.0,0.0,Indiana
2236026,2022,316000.0,CSE,IIS,Rensselaer Polytechnic Institute,NY,New York,300000.0,-16000.0,New York
2236057,2022,99994.0,BIO,MCB,Spelman College,GA,Georgia,99994.0,0.0,Georgia
2236064,2022,50000.0,TIP,TI,Michigan Technological University,MI,Michigan,50000.0,0.0,Michigan
2236413,2022,2991733.0,EDU,DGE,University of California-Riverside,CA,California,652773.0,-2338960.0,California
