awardeeName,count_total,total_obligated_funds
COBIO DIAGNOSTICS INC.,1,984381
"COHERENT PHOTONICS, LIMITED LIABILITY COMPANY",1,305000
COLLAMEDIX INC.,1,1503918
COLLEGE OF MUSCOGEE NATION,1,349913
COMMONWEALTH UNIVERSITY OF PENNSYLVANIA,3,3300000
"COMMUNITY & TECHNICAL COLLEGES, WASHINGTION STATE BOARD FOR",1,1995589
COMON SOLUTIONS LLC,2,2399800
COMPACT MEDICAL SOLUTIONS LLC,1,999931
COMPTON COLLEGE,2,599998
"COMPUTER SCIENCE TEACHERS ASSOCIATION, LLC.",4,4195601
CONCHA INC.,2,2993446
"CONNECT DYNAMICS, INC.",1,998234
"CONOVATE, INC.",1,1500000
CORD,1,2748060
"COSMIC EATS, INC.",2,589770
CREATIVE BIOTHERAPEUTICS LLC,1,1427000
CROOKES RESEARCH LLC,1,1199999
"CROSSLINK COMPOSITES, INC.",1,1585582
"CRYPTYX BIOSCIENCE, INC.",1,999109
CSU Fullerton Auxiliary Services Corporation,32,8233020
CSUB Auxiliary for Sponsored Programs Administration,7,3819422
CUNY Baruch College,11,2810625
CUNY Borough of Manhattan Community College,6,8224782
CUNY Bronx Community College,3,10269804
CUNY Brooklyn College,15,3917588
CUNY City College,58,44491775
CUNY College of Staten Island,14,4988293
CUNY Graduate School University Center,6,659804
CUNY Hostos Community College,7,8002046
CUNY Hunter College,28,15003286
CUNY John Jay College of Criminal Justice,10,2647702
CUNY Medgar Evers College,2,511044
CUNY New York City College of Technology,10,4761019
CUNY Queens College,28,15489399
CUNY Queensborough Community College,4,1700073
CUNY York College,2,731266
"Cal Poly Pomona Foundation, Inc.",23,14439687
"Calabrese, Gina",1,207000
"Calderon, Aaron",1,150000
Caldwell University Inc,1,696499
California Academy of Sciences,8,2605010
California Association for Research in Astronomy,4,9858111
California Baptist University,1,500000
California Institute of Technology,141,115764336
California Lutheran University,1,55836
California Maritime Academy,1,151880
California Polytechnic State University Foundation,53,23298276
California State L A University Auxiliary Services Inc.,23,9076893
California State University Channel Islands,4,1456833
California State University San Marcos Corporation,17,9884872
"California State University, East Bay Foundation, Inc.",12,15365230
"California State University, Trustees",2,193624
California State University-Dominguez Hills Foundation,19,8573671
California State University-Fresno Foundation,14,6845617
California State University-Long Beach Foundation,39,15734210
California State University-Sacramento,1,201000
California State University-Stanislaus,1,249874
Calvin University,3,288155
"Camerad Technologies, LLC",2,1519884
Campbell University,4,1468963
Canada-France-Hawaii Telescope Corporation,1,433564
Cankdeska Cikana Community College,2,4942394
"Cannizzo, Catherine Kendall Asaro",2,600000
"Capano, John",1,0
"Capovilla-Searle, Orsola",1,150000
Carleton College,30,13527497
"Carmichael, Theron W",2,600000
"Carmo, Olivia Maria Silva",1,249000
Carnegie Institute,1,1254205
Carnegie Institution of Washington,23,13464703
Carnegie-Mellon University,339,326179559
"Carrera, Sofia",1,165000
"Carrick, Christian",1,190000
Carroll College,2,619274
Carthage College,4,842914
"Cary Institute of Ecosystem Studies, Inc.",19,17891003
Case Western Reserve University,89,51319870
Catholic University of America,21,11984932
"Cecchini, Gabriel George",2,600000
Cedars-Sinai Medical Center,1,934850
"Cellini, Benjamin",1,240000
Center for Open Science,3,2797774
Central Community College,1,647594
Central Connecticut State University,3,2288100
Central Lakes College,1,648668
