awardeeName,count_total,total_obligated_funds
Wake Technical Community College,6,4408786
"Wang, Danielle Yutian",2,380000
"Wang, Joshua Xu",2,380000
Warren Wilson College,1,127688
Washburn University of Topeka,1,400000
Washington College,1,74975
Washington State University,129,79967173
Washington University,198,123195551
Washington and Lee University,2,235906
"Waterman, Tyler Steven",1,202000
Waubonsee Community College,2,700000
Wayland Baptist College,1,1130080
Wayne State University,76,37848827
Weber State University,6,3437316
Webster University,1,1191833
"Weiler, Morgan",1,150000
"Weinreich, Max H",2,300000
"Weisman, Theodore",2,300000
Wellesley College,8,2038223
Wepan Inc,2,3123648
Wesleyan University,16,10168706
West Chester University of Pennsylvania,11,6863076
West Hills Community College,2,1490747
West Texas A&M University,9,3374402
West Virginia University Research Corporation,106,63085112
WestEd,9,8155833
Westat Inc,1,979923
Western Carolina University,3,1971800
Western Colorado University,1,244580
Western Illinois University,1,750000
Western Kentucky University,6,1678293
Western Michigan University,35,11605451
Western New England University,3,1148114
Western Oregon University,1,418337
Western University of Health Sciences,3,660538
Western Washington University,62,29243125
Westfield State College,5,3764077
Westmont College,2,881543
"Westwood, Mary Lynn",1,207000
Whatcom Community College,2,1182064
Wheaton College,1,622070
Whitehead Institute for Biomedical Research,1,1496376
Whitman College,5,1648465
Whitworth University,3,505827
WiSys Technology Foundation Inc,1,999911
Wichita State University,18,10475415
Widener University,2,343479
"Wijewardena, Niyomi",2,276000
"Wilber, Heather Denise",1,150000
Wilkes University,2,711976
Willamette University,6,4325422
William Marsh Rice University,190,126658111
William Paterson University,5,2034375
William Rainey Harper College,1,400000
Williams College,29,7845539
"Williamson, Jessie L",1,207000
"Willoughby, Andrew C",1,249000
"Wilson, Jacob Dean",2,360000
"Wilson, Stephanie J",1,0
Winona State University,8,2644147
Winston-Salem State University,16,5975177
Winthrop University,7,2195149
Wisconsin Lutheran College,1,235970
Wistar Institute,3,1849909
Wittenberg University,3,1548876
"Wolfram, Catherine Cawley",1,190000
Woods Hole Oceanographic Institution,192,552693837
"Woodwell Climate Research Center, Inc.",12,15946673
"Woolley, Charles Henrik",1,180000
Wor-Wic Community College,1,350000
Worcester Polytechnic Institute,86,44441230
Worcester State University,4,739510
"Wrensford, Kwasi C",2,480000
Wright State University,4,1336815
"Wright, Esteban",2,600000
"Wu, Jane H",1,190000
"Wylie, Jordan",1,160000
X-COR THERAPEUTICS INC,1,274274
"XL BATTERIES, INC",1,997018
XMIZE LLC,1,275000
XONA SPACE SYSTEMS INC.,2,1999990
Xavier University,1,111895
Xavier University of Louisiana,14,5462262
"Xiong, Tianzhu",1,240000
"YANK TECHNOLOGIES, INC.",2,2000000
"YEBOAH, AMY",1,303226
"YERBA BUENA VR, INC.",1,998251
"YEUNG, Matthew",2,600000
Yakima Valley Community College,2,1492580
Yale University,192,126400086
"Yang, David H",1,190000
"Yap-Chiongco, Meghan K",1,240000
Yeshiva University,5,1496810
"Young People's Project, Inc.",2,4055332
"Young, Giorgio",1,190000
Youngstown State University,11,4227301
Yukon River Inter-Tribal Watershed Council,1,634345
"Z-POLYMERS, LLC",1,275000
ZEALOUS RESEARCH LLC,2,550000
ZEBRAMD INC.,1,275000
ZENOLEAP LLC,2,550000
ZIKER ENTERPRISES LLC,2,100000
Zane State College,1,349999
"ZeoVation, Inc.",1,1199999
"Zhang, Marianna",2,320000
"Zhang, Robin",1,190000
"Zubrilina, Nina",1,190000
"deGraffenried, Rebecca",2,348000
eSens LLC,2,1998032
"martinez, vladimir A",1,300000
